"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"Shenandoah","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",1076,2282,0.00484368119771026,0.0110766504209127,-0.0272804774083546,3042
2017-10-31,"Turn of River","CT","Stamford","Fairfield","Stamford",1077,2968,0.00134952766531714,-0.00636089722129227,0.00644286198711428,4703
2017-10-31,"South Beach","CA","San Francisco","San Francisco","San Francisco",1078,4584,0.00152938606073847,0.0101366240634641,-0.0122818358112476,6030
2017-10-31,"Holiday City-Berkeley","NJ","New York","Ocean","Berkeley",1079,1437,0.0112596762843068,0.0301075268817204,0.0878122634367903,9104
2017-10-31,"North Side","TX","Dallas-Fort Worth","Tarrant","Fort Worth",1080,1078,0.0112570356472795,0.0208333333333333,0.050682261208577,2644
2017-10-31,"Southeast","OR","Eugene","Lane","Eugene",1081,1508,0.00734802939211757,0.0120805369127517,0.074839629365645,5483
2017-10-31,"West Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",1082,4151,-0.000481579581025764,0.00850340136054422,0.0318170519512801,4340
2017-10-31,"Corlett","OH","Cleveland","Cuyahoga","Cleveland",1083,790,0.00126742712294043,0.00381194409148666,0.0353866317169069,4628
2017-10-31,"East Forest","NC","Charlotte","Mecklenburg","Charlotte",1084,1262,0.00637958532695375,0.0136546184738956,0.0318887980376124,2020
2017-10-31,"Squirrel Hill North","PA","Pittsburgh","Allegheny","Pittsburgh",1085,3178,-0.005320813771518,-0.00904271905207359,0.0182633771227171,2754
2017-10-31,"Park West","IL","Chicago","Cook","Chicago",1086,1802,-0.00221483942414175,0.0129286115795391,0.0157835400225479,7790
2017-10-31,"Windsor Park","NC","Charlotte","Mecklenburg","Charlotte",1087,1157,0.0122484689413823,0.0238938053097345,0.0792910447761194,3065
2017-10-31,"East Central","WA","Spokane","Spokane","Spokane",1088,985,0.00407747196738022,0.0112936344969199,0.0765027322404372,4109
2017-10-31,"Eastmoor","OH","Columbus","Franklin","Columbus",1089,966,0.00520291363163372,0.0211416490486258,0.0674033149171271,3610
2017-10-31,"Valencia Park","CA","San Diego","San Diego","San Diego",1090,2229,0.00450653447498873,0.00905387052965143,0.0504241281809614,2225
2017-10-31,"Central Weymouth","MA","Boston","Norfolk","Weymouth",1091,2243,-0.00620292423571112,-0.0144991212653779,-0.0123293703214443,4096
2017-10-31,"Richmond","OR","Portland","Multnomah","Portland",1092,2285,-0.00522420548541576,-0.00435729847494553,-0.00695349847892221,4578
2017-10-31,"North Broadway","NJ","New York","Essex","Newark",1093,1506,0.00601202404809619,0.00601202404809619,0.000664451827242525,1497
2017-10-31,"Downtown","TX","Houston","Harris","Houston",1094,1833,0.00163934426229508,-0.00054525627044711,-0.0770392749244713,2169
2017-10-31,"Scott Park","OH","Toledo","Lucas","Toledo",1095,776,-0.00128700128700129,0.00388098318240621,0.0197109067017083,3294
2017-10-31,"Power Ranch","AZ","Phoenix","Maricopa","Gilbert",1096,1487,0.00134680134680135,0.00337381916329285,0.034794711203897,4195
